open_time,open,high,low,close,volume,taker_buy_base_asset_volume
2025-06-14 07:28:00+00:00,104940.8,104940.8,104940.7,104940.7,22.701,20.364
2025-06-14 07:29:00+00:00,104940.8,104947.3,104940.7,104940.8,44.125,31.521
2025-06-14 07:30:00+00:00,104940.8,104966.0,104931.6,104966.0,62.404,43.078
2025-06-14 07:31:00+00:00,104966.0,104994.1,104964.4,104971.9,77.144,46.356
2025-06-14 07:32:00+00:00,104972.0,104992.0,104971.9,104992.0,82.659,55.198
2025-06-14 07:33:00+00:00,104992.0,104999.0,104980.3,104999.0,68.271,42.274
2025-06-14 07:34:00+00:00,104999.0,105020.8,104998.9,104999.1,126.956,84.53
2025-06-14 07:35:00+00:00,104999.1,104999.2,104980.0,104986.9,72.588,38.978
2025-06-14 07:36:00+00:00,104986.8,105053.0,104982.2,105051.2,193.584,175.414
2025-06-14 07:37:00+00:00,105051.2,105108.7,105043.2,105043.2,163.989,107.454
2025-06-14 07:38:00+00:00,105043.3,105043.3,105023.2,105040.3,65.11,22.082
2025-06-14 07:39:00+00:00,105040.3,105076.8,105040.2,105076.8,85.974,75.655
2025-06-14 07:40:00+00:00,105076.8,105076.8,105052.8,105063.4,50.43,24.439
2025-06-14 07:41:00+00:00,105063.4,105078.6,105063.4,105078.6,24.726,22.231
2025-06-14 07:42:00+00:00,105078.6,105078.6,105067.1,105077.7,43.072,21.241
2025-06-14 07:43:00+00:00,105077.7,105083.5,105076.7,105083.5,21.443,15.943
2025-06-14 07:44:00+00:00,105083.5,105103.1,105083.5,105103.1,38.295,31.014
2025-06-14 07:45:00+00:00,105103.0,105103.1,105088.8,105088.8,39.888,12.571
2025-06-14 07:46:00+00:00,105088.9,105088.9,105088.0,105088.0,31.107,8.848
2025-06-14 07:47:00+00:00,105088.1,105088.1,105088.0,105088.1,29.188,10.729
2025-06-14 07:48:00+00:00,105088.1,105088.1,105088.0,105088.0,25.361,14.246
2025-06-14 07:49:00+00:00,105088.1,105088.1,105035.0,105050.1,97.108,36.252
2025-06-14 07:50:00+00:00,105050.2,105055.6,105036.6,105055.5,70.645,35.255
2025-06-14 07:51:00+00:00,105055.6,105055.6,105003.8,105033.9,74.045,33.757
2025-06-14 07:52:00+00:00,105033.9,105058.0,105021.0,105021.1,55.006,28.001
2025-06-14 07:53:00+00:00,105021.1,105031.8,105004.9,105031.8,38.029,22.895
2025-06-14 07:54:00+00:00,105031.8,105037.9,105001.1,105007.4,40.702,13.004
2025-06-14 07:55:00+00:00,105007.3,105007.4,105000.0,105005.9,30.786,5.717
2025-06-14 07:56:00+00:00,105005.8,105027.1,105003.6,105027.0,47.974,33.034
2025-06-14 07:57:00+00:00,105027.1,105042.2,105027.0,105032.4,53.377,34.913
2025-06-14 07:58:00+00:00,105032.4,105048.4,105032.3,105034.2,33.723,22.523
2025-06-14 07:59:00+00:00,105034.2,105034.2,105025.0,105025.1,18.376,3.176
